Sequence,Prediction,ScriptPath,functionName_position,LineNumbers
"['module', 'currentModule']",83.08%,/home/jibesh/jsdataset/jquery/external/qunit/qunit.js,processModule_4755458,"[1169, 1190]"
"['module', 'currentModule']",83.08%,/home/jibesh/jsdataset/jquery/external/qunit/qunit.js,processModule_4755458,"[1193, 1196]"
"['undefined', '_result']",79.43%,/home/jibesh/jsdataset/jquery/external/qunit/qunit.js,makePromise_7225346,"[1767, 1767]"
"['undefined', '_state']",93.91%,/home/jibesh/jsdataset/jquery/external/qunit/qunit.js,makePromise_7225346,"[1766, 1766]"
"['ga', 'Sizzle']",99.89%,/home/jibesh/jsdataset/jquery/external/sizzle/dist/sizzle.min.js,__ANONYMOUS___8193,"[2, 2]"
"['g', 'n']",79.26%,/home/jibesh/jsdataset/jquery/external/sizzle/dist/sizzle.min.js,__ANONYMOUS___12287,"[2, 2]"
"['undefined', 'that']",97.06%,/home/jibesh/jsdataset/jquery/src/deferred.js,__ANONYMOUS___466965,"[177, 177]"
"['and', 'result']",95.63%,/home/jibesh/jsdataset/jquery/external/qunit/qunit.js,handleRejection_16687112,"[4094, 4094]"
"['method', 'body']",99.75%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,respondWith_16449553,"[4023, 4023]"
"['method', 'url', 'body']",90.92%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,respondWith_16449553,"[4024, 4024, 4028]"
"['method', 'url']",91.48%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,respondWith_16449553,"[4024, 4029]"
"['data', 'result']",57.13%,/home/jibesh/jsdataset/jquery/test/unit/ajax.js,__ANONYMOUS___3489806,"[854, 854]"
"['undefined', 'top']",68.01%,/home/jibesh/jsdataset/jquery/test/unit/css.js,__ANONYMOUS___4550709,"[1125, 1125]"
"['undefined', 'expected']",53.3%,/home/jibesh/jsdataset/jquery/external/qunit/qunit.js,rejects_16494603,"[4036, 4036]"
"['token', 'tokens']",99.88%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,__ANONYMOUS___34213901,"[8355, 8355]"
"['undefined', 'fxNow']",95.25%,/home/jibesh/jsdataset/jquery/test/data/jquery-1.9.1.js,__ANONYMOUS___36691981,"[8959, 8959]"
"['deps', 'callback']",91.93%,/home/jibesh/jsdataset/jquery/external/requirejs/require.js,__ANONYMOUS___8441869,"[2074, 2074]"
"['deps', 'callback']",91.93%,/home/jibesh/jsdataset/jquery/external/requirejs/require.js,__ANONYMOUS___8441869,"[2067, 2067]"
"['descriptor', 'wrapper']",99.73%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,stubDescriptor_11079680,"[2726, 2726]"
"['token', 'tokens']",99.88%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,__ANONYMOUS___34287626,"[8373, 8373]"
"['indent', 'k']",87.92%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,__ANONYMOUS___25616403,"[6257, 6282]"
"['noop', 'off']",99.6%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,__ANONYMOUS___30482454,"[7609, 7609]"
"['noop', 'addListener']",99.22%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,__ANONYMOUS___30482454,"[7607, 7607]"
"['noop', 'removeListener']",99.66%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,__ANONYMOUS___30482454,"[7610, 7610]"
"['noop', 'once']",99.94%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,__ANONYMOUS___30482454,"[7608, 7608]"
"['ne', 'result']",80.07%,/home/jibesh/jsdataset/jquery/external/qunit/qunit.js,notEqual_15876107,"[3879, 3879]"
"['undefined', 'that']",97.06%,/home/jibesh/jsdataset/jquery/src/deferred.js,__ANONYMOUS___778249,"[208, 208]"
"['o', 'e']",67.93%,/home/jibesh/jsdataset/jquery/external/npo/npo.js,__ANONYMOUS___22894,"[5, 5]"
"['o', 'n']",77.83%,/home/jibesh/jsdataset/jquery/external/npo/npo.js,__ANONYMOUS___22894,"[5, 5]"
"['fix', 'type']",58.8%,/home/jibesh/jsdataset/jquery/src/event.js,__ANONYMOUS___2801674,"[695, 695]"
"['p', 'o']",55.94%,/home/jibesh/jsdataset/jquery/external/sizzle/dist/sizzle.min.js,__ANONYMOUS___12287,"[2, 2]"
"['q', 'm']",98.01%,/home/jibesh/jsdataset/jquery/external/sizzle/dist/sizzle.min.js,__ANONYMOUS___12287,"[2, 2]"
"['and', 's']",78.36%,/home/jibesh/jsdataset/jquery/external/sizzle/dist/sizzle.min.js,__ANONYMOUS___12287,"[2, 2]"
"['elem', 'win']",99.4%,/home/jibesh/jsdataset/jquery/src/offset.js,__ANONYMOUS___753687,"[189, 189]"
"['undefined', 'callback']",99.19%,/home/jibesh/jsdataset/jquery/external/qunit/qunit.js,finish_12791819,"[3128, 3128]"
"['h', 'e', 'n']",67.78%,/home/jibesh/jsdataset/jquery/external/npo/npo.js,__ANONYMOUS___22956,"[5, 5, 5]"
"['returnTrue', 'isImmediatePropagationStopped']",99.95%,/home/jibesh/jsdataset/jquery/src/event.js,__ANONYMOUS___2420763,"[594, 594]"
"['cur', 'lastElement']",74.31%,/home/jibesh/jsdataset/jquery/src/event/trigger.js,__ANONYMOUS___86026,"[99, 100]"
"['elem', 'tmp', 'lastElement', 'cur']",94.1%,/home/jibesh/jsdataset/jquery/src/event/trigger.js,__ANONYMOUS___86026,"[28, 28, 28, 28]"
"['g', 'prototype']",96.0%,/home/jibesh/jsdataset/jquery/external/npo/npo.js,__ANONYMOUS___20696,"[5, 5]"
"['c', 'b']",52.64%,/home/jibesh/jsdataset/jquery/external/sizzle/dist/sizzle.min.js,__ANONYMOUS___12287,"[2, 2]"
"['queue', 'locked']",99.8%,/home/jibesh/jsdataset/jquery/src/callbacks.js,__ANONYMOUS___802825,"[197, 197]"
"['or', 'repeat']",99.07%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,parse_28880896,"[7087, 7087]"
"['or', 'optional']",59.85%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,parse_28880896,"[7088, 7088]"
"['o', 'msg']",95.53%,/home/jibesh/jsdataset/jquery/external/npo/npo.js,r$jscomp$1_21248,"[5, 5]"
"['jQuery', '$$', '$', 'jQuery']",79.12%,/home/jibesh/jsdataset/jquery/test/unit/core.js,__ANONYMOUS___819226,"[203, 203, 209, 209]"
"['jQuery', '$$', 'jQuery']",58.39%,/home/jibesh/jsdataset/jquery/test/unit/core.js,__ANONYMOUS___819226,"[203, 203, 216]"
"['target', 'deep']",98.06%,/home/jibesh/jsdataset/jquery/src/core.js,__ANONYMOUS___512035,"[127, 134]"
"['queue', 'locked']",99.8%,/home/jibesh/jsdataset/jquery/src/callbacks.js,__ANONYMOUS___753676,"[185, 185]"
"['error', 'name']",95.3%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,rejects_4452365,"[1091, 1091]"
"['undefined', 'exception']",96.64%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,rejects_4452365,"[1101, 1101]"
"['error', 'reason']",98.52%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,rejects_4452365,"[1095, 1095]"
"['reason', 'returnValue']",99.64%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,rejects_4452365,"[1090, 1097]"
"['ret', 'width']",95.41%,/home/jibesh/jsdataset/jquery/src/css/curCSS.js,curCSS_49152,"[27, 46]"
"['ret', 'width']",95.41%,/home/jibesh/jsdataset/jquery/src/css/curCSS.js,curCSS_49152,"[30, 46]"
"['nodeIndex', 'diff']",97.23%,/home/jibesh/jsdataset/jquery/external/sizzle/dist/sizzle.js,__ANONYMOUS___5181444,"[1339, 1340]"
"['parent', 'node']",93.77%,/home/jibesh/jsdataset/jquery/external/sizzle/dist/sizzle.js,__ANONYMOUS___5181444,"[1268, 1301]"
"['gt', 'e']",78.41%,/home/jibesh/jsdataset/jquery/external/sizzle/dist/sizzle.min.js,za_12287,"[2, 2]"
"['handler', 'response']",99.95%,/home/jibesh/jsdataset/jquery/external/sinon/sinon.js,responseArray_15687680,"[3831, 3831]"
"['a', 'c']",60.31%,/home/jibesh/jsdataset/jquery/external/sizzle/dist/sizzle.min.js,__ANONYMOUS___12287,"[2, 2]"
"['type', 'finalDataType']",99.6%,/home/jibesh/jsdataset/jquery/src/ajax.js,ajaxHandleResponses_569344,"[171, 171]"
